['\ufeffतेरो', 'अश्लिल', 'फोटोहरू', 'म', 'सार्वजनिक', 'गरिदिन्छु', '।']	['O', 'B-general_threat', 'I-general_threat', 'O', 'B-general_threat', 'O', 'O']
['सम्पत्तिकै', 'लागि', 'बिहे', 'गरेकी', 'रैछ', 'त्यसले', '।']	['B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O']
['चरित्रहिन', 'केटि', 'एस्तो', 'हुन्छ', 'भन्नि', 'तलाई', 'पहिला', 'नै', 'थाहा', 'थिएन', 'र', 'रन्डी', '|']	['B-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'O']
['तँ', 'साला', 'भालु', ',', 'बिग्रेकी', 'आइमाई।', '।']	['O', 'B-profanity', 'I-profanity', 'O', 'B-profanity', 'I-profanity', 'O']
['तँ', 'साला', 'भालु', ',', 'बिग्रेकी', 'आइमाई।', '।']	['O', 'B-profanity', 'I-profanity', 'O', 'B-profanity', 'I-profanity', 'O']
['कसैले', 'नजानेको', 'तैंले', 'जानेकी', 'रहिछेस', 'जाबो', 'केहि', 'पैसाको', 'लोभमा', 'अरुलाई', 'गाली', 'गर्दै', 'हिड्ने', 'तँ', 'जस्तो', 'गतिछाडा', 'आइमाई', 'को', 'के', 'कुरा', 'सुन्नु', '|']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O', 'O']
['तैंले', 'मेरो', 'जिन्दगि', 'बर्बाद', 'गर्दिस', ',', 'कामना', 'गर्छु', 'तैंले', 'सफलता', 'कहिले', 'नपावोस।', 'राछेस्नी', ',', 'रन्डी', '।']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'B-profanity', 'I-profanity', 'I-profanity', 'O']
['खाते', 'साला', 'तैंले', 'मेरो', 'मन', 'धेरै', 'नै', 'दुखाको', 'छस्', ',', 'म', 'तँलाई', 'धेरै', 'नै', 'यातना', 'दिने', 'छु।', '।']	['B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'O']
['तँ', 'र', 'तेरो', 'परिवारलाई', 'म', 'बिस्तारै', 'मार्दै', 'जान्छु।', '।']	['O', 'O', 'O', 'O', 'O', 'O', 'B-physical_threat', 'I-physical_threat', 'O']
['तँ', 'र', 'तेरो', 'परिवारलाई', 'मार्ने', 'योजना', 'मैले', 'पहिला', 'देखिनै', 'बनाउदै', 'आएको', 'छु।', '।']	['O', 'O', 'O', 'O', 'B-general_threat', 'I-general_threat', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['तपाईंको', 'दुर्भाग्यपूर्ण', 'घटना', 'हुने', 'वाला', 'छ', 'र', 'त्यो', 'दुर्घटना', 'म', 'गर्ने', 'छु।', '।']	['O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'O', 'O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'O']
['तिमीले', 'यस्तो', 'कामहरु', 'गरेउ', 'भने', 'हात', 'उठाउने', 'छु', 'र', 'तिमी', 'पछुताउने', 'छौ।', '।']	['O', 'O', 'O', 'O', 'O', 'B-physical_threat', 'I-physical_threat', 'I-physical_threat', 'O', 'O', 'O', 'O', 'O']
['तँ', 'एकदम', 'मोटि', 'र', 'नराम्री', 'रैछस।', '।']	['O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']
['आफु', 'नै', 'चर्तिकला', 'देखाउदै', 'हिड्छेस', 'अनि', 'कस्ले', 'राम्रो', 'भन्छ', 'र', 'तलाई', '|']	['O', 'O', 'B-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['यस्तो', 'कुरूप', 'थोप्डा', 'लिएर', 'बाच्ने', 'तँलाई', 'कुनै', 'अधिकार', 'छैन।', '।']	['O', 'B-profanity', 'I-profanity', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']
['काट', 'आफुलाई', ',', 'जसरी', 'अहिले', 'सम्म', 'आफुलाई', 'काट्दै', 'आईरहेको', 'छस्।', 'अर्काको', 'ध्यान', 'आफूतिर', 'तान्ने', 'आइमाई।', '।']	['B-physical_threat', 'I-physical_threat', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']
['काट', 'आफुलाई', ',', 'जसरी', 'अहिले', 'सम्म', 'आफुलाई', 'काट्दै', 'आईरहेको', 'छस्।', 'अर्काको', 'ध्यान', 'आफूतिर', 'तान्ने', 'आइमाई।', '।']	['B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']
['तिमीलाई', 'कसैलेनी', 'राम्रो', 'मान्दैन', ',', 'जाउ', 'बरु', 'आफैले', 'आत्माहत्या', 'गर।', '।']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'O']
['यो', 'नसोच', 'कि', 'तिमी', 'एकदम', 'राम्रो', 'छौ', ',', 'के', 'गर्ने', 'सबैले', 'तिमीलाई', 'नराम्रो', 'मान्छ।', '।']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']
['तिमी', 'कति', 'कुरूप', 'हो', ',', 'भनेको', 'मान्छौ', 'भने', 'यो', 'संसार', 'छाडेर', 'जाउ', 'बरु।', '।']	['O', 'O', 'B-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']
['म', 'तेरो', 'घर', 'राती', 'पस्ने', 'छु', 'र', 'तँलाई', 'यातना', 'दिने', 'छु।', '।']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'O']
['म', 'चाहन्छु', 'तँ', 'नर्ग', 'जानु', 'पर्छ', 'र', 'शैतानसंग', 'तेरो', 'भेट', 'होस्।', '।']	['O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']
['तेरो', 'र', 'मेरो', 'युद्ध', 'सुरु', 'भयो', ',', 'हेर्दै', 'जा', 'म', 'तँलाई', 'कति', 'सम्मको', 'यातना', 'दिन', 'सक्छु', 'भन्ने।', '।']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'O']
['तँलाई', 'मार्ने', 'कुनै', 'ठुलो', 'कुरा', 'होइन', ',', 'हेर्दै', 'जा', 'तेरो', 'मृत्यु', 'येही', 'महिनामा', 'हुन्छ।', '।']	['O', 'B-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-physical_threat', 'I-physical_threat', 'I-physical_threat', 'I-physical_threat', 'O']
['तँ', 'खातिनीलाई', 'त', 'मारेर', 'फाल्दिनु', 'पर्नी', '|']	['O', 'B-profanity', 'O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'O']
['हेर्दै', 'जा', 'मुजी', ',', 'तँ', 'मर्ने', 'छस्', 'गधा।', '।']	['O', 'O', 'B-profanity', 'O', 'O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'O']
